0,1,2,3,4,5,6,7,8
Tijuana,1252.14,0.06,..,1.42,1,100,1,1
Ju??rez,3577.67,0.18,..,0,1,100,1,1
Hermosillo,16926.97,0.86,..,32.47,1,100,1,1
Chihuahua,8861.48,0.45,..,2.53,1,98.94,2,1
Reynosa,4686.45,0.24,..,43.33,1,82.35,2,1
Monterrey,10984.38,0.56,..,53.96,1,89.64,20,7
Torre??n,11553.57,0.59,..,61.35,1,88.62,6,3
Saltillo,5562.31,0.28,..,8.8,1,100,1,1
Culiac??n,6238.98,0.32,..,694.13,1,100,1,1
Durango,9185.1,0.47,..,235.78,1,100,1,1
Tampico,2091.3,0.11,..,452.24,1,75.78,4,3
San Luis Potos??,5245.39,0.27,..,34.18,1,87.37,7,2
Aguascalientes,2308.08,0.12,..,249.82,1,84.99,4,1
Benito Ju??rez,2089.92,0.11,..,240.11,1,100,1,1
Le??n,1744.18,0.09,..,137.73,1,89.31,2,1
M??rida,12501.47,0.64,..,1080.9,1,68.3,52,2
Guadalajara,2478.44,0.13,..,132.76,1,90.5,7,4
Irapuato,843.86,0.04,..,238.61,1,100,1,1
Quer??taro,2454.57,0.13,..,388.28,1,73.86,4,1
Celaya,1160.47,0.06,..,327.23,1,77.51,3,1
Pachuca de Soto,1594.31,0.08,..,290.21,1,54.29,10,1
Morelia,1935.06,0.1,..,223.68,1,87.62,4,1
Mexico City,5101.68,0.26,..,29.4,1,96.06,55,39
Xalapa,1313.03,0.07,..,525.17,1,63.38,11,1
Toluca,2190.89,0.11,..,246.64,1,73.29,15,5
Veracruz,1056.65,0.05,..,601.99,1,89.02,5,2
Puebla,1343.51,0.07,..,130.1,1,76.98,11,2
Cuernavaca,947.07,0.05,..,205.14,1,86.7,7,4
Centro,3209.37,0.16,..,691.67,1,73.56,4,1
Oaxaca de Ju??rez,1702.22,0.09,..,290.13,1,58.15,46,5
Acapulco de Ju??rez,1731.31,0.09,..,760.1,1,100,1,1
Tuxtla Guti??rrez,2167.43,0.11,..,1274.16,1,75.64,5,1
Amsterdam,2819.84,8.35,592.55,223.33,4,68.74,57,9
The Hague,296.87,0.88,152.31,22.22,1,78.79,11,4
Rotterdam,1480,4.38,377.96,72.88,1,60.32,36,5
Utrecht,622.67,1.84,159.81,246.48,1,41.88,14,1
Eindhoven,1199.68,3.55,210.92,854.07,2,43.56,19,2
Oslo,7099.16,2.33,460,325.95,1,48.09,30,1
Warsaw,8611.73,2.75,743.18,1060.23,1,58.02,101,12
Katowice,3920.33,1.25,749.92,327.13,1,56.95,60,8
L??dz,1693.68,0.54,209.29,406.38,1,84.87,17,2
Krak??w,3749.06,1.2,239.95,734.6,1,56.4,44,1
Wroclaw,2635.24,0.84,185.27,604.14,1,76.79,19,1
Poznan,3077.07,0.98,247.17,372.03,1,61.74,26,1
Gdansk,2615.68,0.84,217.88,687.34,1,65.72,24,2
Lublin,3222.11,1.03,133.75,487.67,1,52.7,33,1
Lisbon,3988.31,4.33,562.89,67.38,2,85.29,235,157
Porto,951.54,1.03,257.67,67.61,1,82,150,90
Stockholm,7106.87,1.73,863.34,120.96,3,74.49,28,12
Gothenburg,3850.19,0.94,412.66,306.57,1,56.37,12,1
Malm??,3468.54,0.85,293.74,895.1,2,58.8,14,2
Ljubljana,3145.03,15.62,145.38,984.22,1,49.34,28,1
Bratislava,2600.66,5.3,273.37,460.9,1,61.09,136,17
London,6920.87,2.85,2421.78,38.79,6,79.55,47,40
Birmingham (UK),1454.14,0.6,505.8,148.64,2,87.55,6,4
Leeds,1726,0.71,334.15,181.08,1,91.85,3,2
Bradford,443.63,0.18,175.38,160.25,1,95.23,3,1
Liverpool,556.66,0.23,247.97,63.23,1,79.08,4,2
Manchester,1435.01,0.59,493.15,147.68,1,88.23,10,6
Cardiff,736.87,0.3,185.32,174.51,1,52.24,5,1
Sheffield,1109.88,0.46,254.75,280.24,1,90.86,4,2
Bristol,807.31,0.33,219.6,125.53,1,52.91,4,1
Newcastle,2873.08,1.18,297.92,165.74,2,63.88,5,3
Leicester,1099.2,0.45,171.12,326.21,1,71.33,4,2
Portsmouth,428.6,0.18,145.53,94.04,2,89.66,3,2
Nottingham,1110.74,0.46,228.68,277.07,1,75.75,5,2
Glasgow,855.84,0.35,262.28,106.96,2,62.49,7,1
Edinburgh,1279.59,0.53,213.95,223.23,1,66.69,5,1
Philadelphia,4326.91,0.05,2103.98,380.63,1,100,202,202
Columbus,11491.61,0.13,1650.16,1800.1,1,79.43,205,42
Denver,21794.38,0.24,1897.78,5.3,1,97.84,39,28
Portland,17657.21,0.19,1959.51,458.91,1,75.67,58,25
Baltimore,3730.13,0.04,1175.97,1009.25,1,87.83,6,3
Cincinnati,10779.42,0.12,1976.41,3061.74,1,92.54,216,63
Washington,16605.51,0.18,3124.01,1108.6,1,86.55,91,60
Kansas City,19095.39,0.21,2682.55,4502.54,1,89.98,217,29
Saint Louis (US),13001.75,0.14,2664.94,1894.12,1,66.16,250,108
Sacramento/Roseville,13749.86,0.15,1359.5,63.12,1,90.63,16,10
Minneapolis,21030.86,0.23,2972.98,3059.49,1,91.77,329,59
San Francisco,17089.9,0.19,3648.6,24.18,2,69.48,93,62
Los Angeles,83682.18,0.91,8418.85,5.48,1,100,169,169
Atlanta,9796.08,0.11,3797.96,115.63,1,38.6,67,18
Phoenix,23889.14,0.26,2668.25,10.98,1,100,24,24
Dallas,12067.76,0.13,3032.58,235.62,1,92.54,117,82
San Diego,11028.58,0.12,2030.81,11.17,1,100,18,18
Houston,22488.43,0.25,4827.18,715.86,1,90.33,109,44
San Antonio,19126.6,0.21,2057.9,150.54,1,91.2,43,22
Orlando,10390.36,0.11,1598.71,515.18,1,74.81,22,13
Miami,14179.44,0.15,3027.61,153.36,1,100,97,97
Seattle,11172.99,0.12,2014.57,109.23,1,100,57,57
Milwaukee,3865.74,0.04,1295.2,1614.69,1,61.61,90,19
Detroit,5244.45,0.06,3142.47,533.35,1,100,131,131
Boston,4829.9,0.05,2128.74,88.2,1,100,120,120
Chicago,18910.46,0.21,6302.59,427.11,1,96.73,540,226
Cleveland,1790.11,0.02,1241.58,493.97,1,85.26,82,59
New York,9882.07,0.11,5191.16,40.22,2,97.56,356,323
Harrisburg,5330.03,0.06,743.06,3924.07,1,87.63,120,73
Indianapolis,6929.77,0.08,1741.3,1097.71,1,56.8,138,24
Dayton,2280.64,0.02,750.05,1108.62,1,77.74,50,28
Colorado Springs,6963.22,0.08,492.39,17.17,1,96.3,11,8
Louisville,9429.64,0.1,1119.44,4354.44,1,86.06,161,85
Wichita,9428.96,0.1,866.81,43.1,1,84.48,129,46
Richmond,795.09,0.01,384.01,219.1,1,41.16,2,1
Norfolk-Portsmouth-Chesapeake-Virginia beach,3054.99,0.03,794.37,771.61,1,72.76,5,3
Fresno,21162.1,0.23,1163.81,86.29,1,86.3,17,15
Las Vegas,67988.47,0.74,1252.95,1.86,1,97.76,6,5
Nashville,9094.09,0.1,1263.65,4627.74,1,52.08,40,7
Tulsa,18235.43,0.2,1740.57,2239.37,1,64.11,79,12
Raleigh,5562.72,0.06,994.02,1885.41,1,79.33,27,12
Oklahoma city,14456.94,0.16,1356.63,138.74,1,90.35,53,27
Charlotte,4016.56,0.04,1298.6,890.46,1,71.79,25,7
Albuquerque,24079.87,0.26,816.88,74.1,1,75.42,17,3
