,population,city,country,latitude,longitude
3520,115633,Nasushiobara,Japan,36.961676,140.046122
3521,115632,Araguari,Brazil,-18.667656,-48.199031
3522,115609,Gudalajara de Buga,Colombia,3.87172,-76.29715
3523,115604,Panevėžys,Lithuania,55.734792,24.357477
3524,115603,Saidpur,Bangladesh,25.7807923,88.8937144
3525,115595,Agadez,Niger,"16,964","7,990"
3526,115547,Kintanu,Democratic Republic of the Congo,-5.14,15.06
3527,115515,Tatuí,Brazil,-23.350632,-47.837548
3528,115505,Chorzów,Poland,50.297488,18.954573
3529,115473,Atbara,Sudan,17.7,33.98
3530,115470,Trindade,Brazil,-16.65343,-49.48091
3531,115405,Higashikurume,Japan,35.757945,139.529829
3532,115403,Várzea Paulista,Brazil,-23.209816,-46.847117
3533,115359,Ikoma,Japan,34.691974,135.700522
3534,115320,Recklinghausen,Germany,51.6143815,7.1978546
3535,115319,Kipushi,Democratic Republic of the Congo,-11.77,27.25
3536,115290,Quibdo,Colombia,5.47016,-76.62604
3537,115287,Šabac,Serbia,44.748861,19.690788
3538,115278,Roorkee,India,29.854263,77.888
3539,115276,Columbia,USA,38.9479,-92.3261
3540,115184,Hatsukaichi,Japan,34.355102,132.336632
3541,115116,Koganei,Japan,35.701717,139.490227
3542,115084,Goicoechea,Costa Rica,9.954669,-84.02203
3543,115052,Ciego de Avila,Cuba,21.932952,-78.566085
3544,115026,Lleida,Spain,41.61759,0.620015
3545,115019,Puntarenas,Costa Rica,9.977844,-84.829421
3546,115016,Bataisk,Russia,47.139761,39.737848
3547,115000,Badagry,Nigeria,"6,430","2,922"
3548,115000,Langtang,Nigeria,"9,160","9,799"
3549,114964,Sakata,Japan,38.921813,139.846003
3550,114963,San Fernando,Philippines,16.616667,120.316667
3551,114866,Tajimi,Japan,35.335019,137.121172
3552,114845,Kamalia,Pakistan,30.736162,72.666187
3553,114825,Ejido,Venezuela,8.549341,-71.242874
3554,114789,Uzhgorod,Ukraine,48.609513,22.300647
3555,114763,Čačak,Serbia,43.891414,20.350165
3556,114707,Jamundí,Colombia,3.09632,-76.60166
3557,114654,Sacheon,Republic of Korea,35.003779,128.064185
3558,114636,Valsad,India,20.599235,72.934245
3559,114626,Escuintla,Guatemala,14.300939,-90.788216
3560,114609,Pagar Alam,Indonesia,-4.016667,103.25
3561,114575,Ambikapur,India,23.135492,83.181786
3562,114472,Khenchela,Algeria,35.416667,7.133333
3563,114447,Giridih,India,24.182139,86.286951
3564,114446,Yeongju,Republic of Korea,36.805686,128.624055
3565,114428,Kawachinagano,Japan,34.451107,135.573097
3566,114332,Novy Urengoy,Russia,66.083333,76.683333
3567,114254,Chandausi,India,28.448051,78.77961
3568,114213,Sogamoso,Colombia,5.74722,-72.87384
3569,114205,Boulogne-Billancourt,France,48.839695,2.239912
