Variables,,Total land area (km2),Metropolitan land share of national value (%),Green area per million people (square meters per million person),Urban form,,Territorial organisation,,,
,,,,,Polycentricity,Concentration of population in the core (%),Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Ratio,Number,Percentage,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,
  IT006: Genova,,1113.59,0.38,336.86,1,81.88,38,1,5.37,18613.71
  IT007: Florence,,1737.87,0.59,500.36,1,48.95,24,1,3.28,30531.08
  IT008: Bari,,754.98,0.26,0.74,1,54.09,17,1,2.91,34339.06
  IT009: Bologna,,2036.1,0.69,183.8,1,48.62,32,1,4.19,23869.09
  IT010: Catania,,609.35,0.21,35.05,1,45.71,21,1,3.33,30038.76
  IT011: Venice,,1089.17,0.37,1.18,1,47.38,14,1,2.57,38969.29
JPN: Japan,,373530,..,..,..,..,..,..,..,..
  JP013: Sendai,,1658.58,0.44,24.43,1,78.51,22,8,1.38,72701.5
  JP003: Sapporo,,2174.93,0.58,166.29,1,93.38,15,11,0.67,148280.07
  JP030: Tokyo,,8592.12,2.3,4.56,1,93.66,235,170,0.65,152872.77
  JP034: Nagoya,,3943.23,1.06,7.46,1,82.96,81,51,1.25,80247.83
  JP038: Osaka,,7003.88,1.88,10.9,1,91.61,160,115,0.92,108398.85
  JP066: Fukuoka,,1153.78,0.31,6.44,1,80.96,29,16,1.12,89652.1
  JP015: Niigata,,1538.91,0.41,163.66,1,75.83,8,1,0.77,129523.38
  JP020: Toyama,,1563.38,0.42,331.23,1,77.69,7,1,1.29,77675.71
  JP021: Nagano,,1241.81,0.33,255.33,1,69.89,10,1,1.88,53301.8
  JP023: Kanazawa,,1282.8,0.34,125.69,1,69.12,8,2,1.06,93930.63
  JP024: Utsunomiya,,989.68,0.26,89,1,63.04,11,2,1.35,73889.36
  JP025: Maebashi,,1188.35,0.32,38.27,1,64.19,19,4,1.92,51964
  JP026: Mito,,644.15,0.17,69.42,1,45.76,7,1,1.18,84811.71
  JP031: Kofu,,790.85,0.21,37.13,1,51.88,11,2,2.14,46780.82
  JP036: Numazu,,482.25,0.13,32.02,1,90.76,7,6,1.32,75651.29
  JP039: Shizuoka,,1171.16,0.31,12.91,1,97.22,5,3,0.68,146372.6
  JP040: Anjo,,284.03,0.08,0.82,1,86,8,7,1.02,97621.25
  JP042: Yokkaichi,,433.2,0.12,26.56,1,55.87,5,2,0.86,116359.4
  JP046: Himeji,,881.27,0.24,26.5,1,73.4,10,2,1.4,71276.7
  JP047: Toyohashi,,764.3,0.2,30.76,1,85.73,7,3,1.14,87720.86
  JP048: Hamamatsu,,1455.54,0.39,20.96,1,81.23,3,1,0.3,331070.67
  JP050: Okayama,,1096.05,0.29,83.82,1,78.89,8,1,0.9,111397.5
  JP051: Kurashiki,,530.72,0.14,20.15,1,82.95,5,1,0.84,119321.8
  JP052: Fukuyama,,707.01,0.19,33.58,1,75.57,4,1,0.72,139037.25
  JP053: Hiroshima,,1193.35,0.32,11.49,1,95.41,14,11,0.99,101382.71
  JP054: Takamatsu,,598.83,0.16,15.72,1,71.67,10,1,1.56,64187.2
  JP055: Wakayama,,422.57,0.11,39.48,1,69.75,7,1,1.34,74567.43
  JP059: Tokushima,,791.65,0.21,26.57,1,47.19,14,1,2.51,39822.29
  JP064: Kitakyushu,,564.54,0.15,10.4,1,73.72,14,7,1.21,82532.14
  JP065: Matsuyama,,796.88,0.21,53.19,1,80.66,5,1,0.77,129147.8
  JP067: Kochi,,985.06,0.26,24.65,1,66.69,8,1,1.64,60961.63
  JP071: Oita,,928.52,0.25,60.16,1,86.63,3,1,0.54,185549
  JP074: Kumamoto,,813.83,0.22,23.47,1,72.32,14,2,1.42,70561.86
  JP075: Nagasaki,,381.54,0.1,15.63,1,97.62,4,3,0.79,127012.5
  JP077: Kagoshima,,762.65,0.2,12.2,1,86.31,3,1,0.43,234613
  JP078: Naha,,418.89,0.11,91.12,1,68.44,21,8,1.79,55976.76
KOR: Korea,,99461,..,..,..,..,..,..,..,..
  KR004: Seoul Incheon,,4673.13,4.7,5.34,2,88.8,965,882,3.87,25853.39
  KR025: Daegu,,1113.43,1.12,32.38,1,94.01,155,143,5.68,17619.77
  KR032: Busan,,724.77,0.73,9.13,2,94.08,218,205,6.35,15747.52
  KR015: Cheongju,,578.93,0.58,83.67,1,87.96,39,28,4.89,20458.28
  KR018: Daejeon,,995.6,1,29.71,1,95.33,87,74,5.19,19266.29
  KR022: Pohang,,814.95,0.82,99.8,1,65.3,27,15,5.14,19437.19
  KR026: Jeonju,,503.06,0.51,40.92,1,89.98,39,32,5.31,18829.33
  KR029: Ulsan,,726.67,0.73,54.9,1,90.17,51,44,4.71,21235.18
  KR033: Changwon,,166.53,0.17,1.76,1,100,40,38,5.48,18256.68
  KR035: Gwangju,,696.43,0.7,39.11,1,95.61,98,86,5.87,17026.27
MEX: Mexico,,1959248,..,..,..,..,..,..,..,..
  MEX01: Mexicali,,15813.24,0.81,7.62,1,100,1,1,0.1,1041837
  MEX02: Tijuana,,1252.14,0.06,1.08,1,100,1,1,0.06,1793265
  MEX05: Juárez,,3577.67,0.18,0,1,100,1,1,0.07,1417787
  MEX08: Hermosillo,,16926.97,0.86,26.41,1,100,1,1,0.11,869669
  MEX10: Chihuahua,,8861.48,0.45,2.13,1,98.43,2,1,0.22,452539.5
  MEX16: Reynosa,,4686.45,0.24,32.92,1,85.03,2,1,0.24,417375
  MEX19: Monterrey,,10984.38,0.56,41.65,1,78.11,20,7,0.41,241172.6
