Milwaukee,3865.74,1567.82,1,60.21,90,19
Detroit,5244.45,551.67,1,100,131,131
Boston,4829.9,86.06,1,100,120,120
Chicago,18910.46,411.29,1,96.53,540,226
Cleveland,1790.11,522.65,1,84.26,82,59
New York,9882.07,39.39,2,97.47,356,323
Harrisburg,5330.03,3690.98,1,87.78,120,73
Indianapolis,6929.77,967.54,1,52.06,138,24
Dayton,2280.64,1120.24,1,75.85,50,28
Colorado Springs,6963.22,14.83,1,96.46,11,8
Louisville,9429.64,4020.98,1,85.57,161,85
Wichita,9428.96,40.12,1,84.9,129,46
Richmond,795.09,201.11,1,38.75,2,1
Norfolk-Portsmouth-Chesapeake-Virginia beach,3054.99,735.49,1,70.55,5,3
Fresno,21162.1,75.96,1,85.81,17,15
Las Vegas,67988.47,1.4,1,97.84,6,5
Nashville,9094.09,4034.75,1,48.99,40,7
Tulsa,18235.43,2087.61,1,63.15,79,12
Raleigh,5562.72,1424.99,1,80.06,27,12
Oklahoma city,14456.94,124.36,1,90.31,53,27
Charlotte,4016.56,691.96,1,69.76,25,7
Albuquerque,24079.87,63.22,1,74.02,17,3
Memphis,13234.05,2944.82,1,85.67,47,7
Little Rock,7781.82,2646.35,1,54.99,34,8
Columbia,3961.67,197.4,1,59.32,19,5
Birmingham (US),6692.58,1160.29,1,70.06,55,32
Fort Worth,4681.62,21.49,1,93.8,46,34
Charleston,7361.17,421.31,1,51.2,27,16
Tucson,23799.97,1.03,1,100,5,5
El Paso,14467.58,3.5,1,99.59,7,6
Baton Rouge,6438.7,802.96,1,66.82,25,3
Austin,11084.37,141.31,1,67.1,44,26
Jacksonville,8871.53,149.69,1,76.86,14,5
New Orleans,12510.83,207.63,1,76.04,18,7
Clearwater/Saint Petersburg,2853.86,267.46,1,100,30,30
Tampa,2819.26,425.12,1,100,3,3
Mcallen,4102,123.7,1,100,22,22
Madison,5268.07,4702.53,1,89.77,93,59
Buffalo,4111.52,2353.84,1,80.83,63,43
Grand Rapids,2258.97,2748.92,1,100,34,34
Albany,7454.61,1800.88,1,96.26,79,27
Providence,1665.12,122.84,1,94.13,24,21
Toledo (US),908.74,579.63,1,100,21,21
Des Moines,9020.15,4685.52,1,70.56,70,17
Omaha,11411.74,702.49,1,59.41,108,7
Akron,1087.89,1287.16,1,100,32,32
Salt Lake City,27710.01,527.36,1,90.99,29,15
Pittsburgh,1928.85,628.13,1,100,128,128
