Uyo,1880000,"5,048","7,778"
Yantai,1870600,37.5340488,121.389463
Curitiba,1864416,-25.423541,-49.317431
Nanchong,1858875,30.7955696,106.0835539
Hải Phòng,1837302,20.844912,106.688084
Perth,1834184,-31.953513,115.857047
Jiangmen,1822640,22.5766294,113.079047
Thane,1818872,19.218331,72.97809
Nanyang,1811732,33.0010496,112.5292693
Tangerang,1798601,-6.178306,106.631889
Bhopal,1795648,23.259933,77.412615
Rawalpindi,1793197,33.598394,73.044135
Lu'an,1778583,31.7383487,116.5142252
Fuyang,1768947,32.8926763,115.8090001
Esfahan,1756126,32.654627,51.667983
Depok,1751696,-6.388877,106.830069
LUSAKA,1747152,-15.416667,28.283333
Hamburg,1746342,53.5437641,10.0099133
Budapest,1740041,47.497912,19.040235
Datong,1737517,40.0893933,113.2801671
Tai'an,1735500,36.2003367,117.0808279
Kampala,1732047,0.27,32.62
Vienna,1731236,48.208174,16.373819
Visakhapatnam,1730320,17.686816,83.218482
Warsaw,1700612,52.229676,21.012229
Patna,1697976,25.611,85.144
DAMASCUS,1680000,33.513,36.292
Bucharest,1677985,44.426767,26.102538
Homs,1667000,34.730833,36.709444
Huainan,1666826,32.6604304,117.0250917
Vadodara,1666703,22.307159,73.181219
Beograde,1664218,44.786568,20.448922
Ecatepec,1655015,19.601841,-99.050674
Manila,1652171,14.599512,120.98422
Daqing,1649825,46.5969028,125.1014811
Suzhou,1647642,31.2984758,120.622239
Firozabad,1645675,27.159101,78.395757
KUALA LUMPUR,1644783,3.139003,101.686855
Mandalay,1620758,"21,98","96,09"
QUITO,1619146,-0.180653,-78.467838
Santa Cruz,1616063,-17.866667,-63
Yancheng,1615717,33.3939707,120.1349541
Karaj,1614626,35.811057,50.984079
Ludhiana,1613878,30.900965,75.857276
Zhanjiang,1612300,21.2021916,110.4045975
Recife,1608488,-8.085592,-34.895025
Harare,1607022,-17.863889,31.029722
Rajkot,1606745,22.303895,70.80216
Barcelona,1605602,41.385064,2.173403
Tengzhou,1603700,35.0830599,117.153469
Yaoundé,1600692,3.86,11.52
Jiangyin,1594829,31.9092756,120.2630426
Adana,1591518,37,35.321333
Agra,1574542,27.17667,78.008075
Siliguri,1572000,26.708382,88.426874
Phnom Penh,1570791,11.544873,104.892167
Zhuhai,1560229,22.2657516,113.568045
Semarang,1555984,-6.966667,110.416667
Philadelphia,1553165,40.0094,-75.1333
Anshan,1544084,40.78195365,122.789233036
Kobe,1530847,34.720309,135.265887
Auckland,1529400,-36.84846,174.763332
Weifang,1521600,36.7084113,119.1044787
Daejeon,1518651,36.350412,127.384548
Phoenix,1513367,33.5722,-112.088
Novosibirsk,1511369,55.008353,82.935733
Changshu,1510103,31.6434085,120.7408552
Hama,1508000,35.133333,36.75
Brazzaville,1506156,-4.25,15.26
Guadalajara,1495182,20.677504,-103.347824
Tabriz,1494998,38.066667,46.3
Guigang,1493874,23.099092,109.60844
Caloocan,1489040,14.65,120.966667
Nashik,1486973,19.997453,73.789802
HARARE,1485231,-17.863889,31.029722
Qiqihar,1481637,47.338544,123.9511506
Barquisimeto,1478733,10.063611,-69.334722
Porto Alegre,1472482,-30.033711,-51.214395
Multan,1471978,30.222933,71.480409
Kyoto,1468906,34.985458,135.757755
Dengzhou,1468061,32.6888657,112.0837091
Gwangju,1466516,35.159545,126.852601
Cixi,1462383,30.183333,121.233333
Shiraz,1460665,29.611903,52.583731
Nsukka,1460000,"6,866","7,444"
Changde,1458536,29.040525,111.6781103
Pizhou,1458036,34.3142567,117.9419078
Davao City,1449296,7.190708,125.455341
Lome,1449284,"6,142","1,252"
Baoji,1437802,34.3860459,107.2409063
Suqian,1437686,33.9564492,118.2945375
Liuzhou,1436599,24.3213044,109.4066186
Puebla,1434062,19.103906,-98.188942
Belém,1432844,-1.251813,-48.456838
Kharkov,1431461,49.9935,36.230383
Fukuoka,1430371,33.590355,130.401716
Maracay,1425606,10.246944,-67.596111
Gujranwala,1421834,32.233004,74.049772
Ekaterinburg,1420285,56.838926,60.605703
Taizhou,1417567,32.4849554,119.9117284
Hyderabad,1417082,25.381751,68.36939
Goiânia,1412364,-16.632425,-49.273152
Yichang,1411380,30.771111,111.321667
Bozhou,1409436,33.8601432,115.7833234
San Antonio,1409019,29.4724,-98.5251
Conakry,1408632,"9,672","-13,567"
Munich,1407836,48.1372719,11.5754815
Faridabad,1404653,28.408912,77.317789
Quanzhou,1398427,25.22314005,118.149366456
